	交易日期,	记账日期,	交易摘要,	交易地点,	卡号末四位,	人民币金额,	交易地金额
	2020-04-06,	2020-04-07,	财付通-江苏联环健康大药房连,	CN,"7473",	￥5.90,"5.90"
	2020-04-06,	2020-04-07,	财付通-江苏宏信超市,	CN,"7473",	￥7.80,"7.80"
	2020-04-06,	2020-04-07,	支付宝-北京嘉信浩远信息技术有限公司,	CN,"7473",	￥445.00,"445.00"
	2020-04-06,	2020-04-07,	支付宝-北京嘉信浩远信息技术有限公司,	CN,"7473",	￥-245.00,"-245.00"
	2020-04-07,	2020-04-08,	回馈金—笔笔返现,	,"7473",	￥-0.24,"-0.24"
	2020-04-07,	2020-04-08,	财付通-鑫果子奶茶铺,	CN,"7473",	￥35.00,"35.00"
	2020-04-08,	2020-04-09,	回馈金—笔笔返现,	,"7473",	￥-0.18,"-0.18"
	2020-04-08,	2020-04-09,	华为商城         001-006,	,"7473",	￥814.67,"814.67"
	2020-04-09,	2020-04-10,	回馈金—笔笔返现,	,"7473",	￥-0.18,"-0.18"
	2020-04-09,	2020-04-10,	支付宝-佛山市卡姿曼贸易有限公司,	CN,"7473",	￥24.70,"24.70"
	2020-04-09,	2020-04-10,	支付宝-深圳市信诺腾科技有限公司,	CN,"7473",	￥11.45,"11.45"
	2020-04-10,	2020-04-11,	支付宝-深圳市湘子优科技有限公司,	CN,"7473",	￥9.90,"9.90"
	2020-04-10,	2020-04-11,	财付通-童志华＆草鸡蛋蛋糕扬,	CN,"7473",	￥9.80,"9.80"
	2020-04-11,	2020-04-12,	财付通-顺丰速运,	CN,"7473",	￥10.00,"10.00"
